top - 14:02:00 up 11:58,  1 user,  load average: 0.18, 0.13, 0.13
Tasks: 198 total,   1 running, 197 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.5 us, 18.8 sy,  0.0 ni, 65.6 id,  0.0 wa,  0.0 hi,  3.1 si,  0.0 st
MiB Mem :   2980.8 total,    698.9 free,    814.7 used,   1467.2 buff/cache
MiB Swap:   1401.6 total,   1401.6 free,      0.0 used.   1953.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2027 kerri     20   0  153568   2600   2204 S   0.0   0.1   5:10.90 VBoxClient
   2031 kerri     20   0   20812    380      0 S   0.0   0.0   0:00.00 VBoxClient
   2032 kerri     20   0  153080   2880   2284 S   0.0   0.1   0:01.58 VBoxClient
   2039 kerri     20   0   20812    380      0 S   0.0   0.0   0:00.00 VBoxClient
   2040 root      20   0   86248   1264   1128 S   0.0   0.0   0:00.01 VBoxDRMClient
   2085 kerri     20   0  183580  54672  41476 S   0.0   1.8   0:00.44 Xwayland
   2088 kerri     20   0  163472   7340   6720 S   0.0   0.2   0:02.69 ibus-engine-sim
   2093 kerri     20   0  163016   6716   6144 S   0.0   0.2   0:00.03 gvfsd-metadata
   2101 kerri     20   0  507348  70264  53016 S   0.0   2.3   0:00.45 gsd-xsettings
   2140 kerri     20   0 2599496  28096  22944 S   0.0   0.9   0:00.21 gjs
   2161 kerri     20   0  343864  24608  17624 S   0.0   0.8   0:00.36 xdg-desktop-por
   2176 kerri     20   0  194196  25368  18204 S   0.0   0.8   0:00.21 ibus-x11
   2258 kerri     20   0  418856  27684  20360 S   0.0   0.9   0:02.13 update-notifier
   3116 root      20   0   73568  14832  12240 S   0.0   0.5   0:00.11 cupsd
   3118 root      20   0  175752  15148  10616 S   0.0   0.5   0:00.52 cups-browsed
   3426 lp        20   0   16284   5300   4548 S   0.0   0.2   0:00.02 dbus
   3954 kerri     20   0 1413356 144804 107776 S   0.0   4.7   0:09.28 gnome-control-c
   3998 kerri     20   0  628224  53180  40464 S   0.0   1.7   0:19.47 gnome-terminal-
   4017 kerri     20   0   11400   5692   3848 S   0.0   0.2   0:00.41 bash
   4541 root      20   0       0      0      0 I   0.0   0.0   0:02.66 kworker/0:2-events
   4706 root      20   0       0      0      0 I   0.0   0.0   0:03.56 kworker/1:1-events
   4730 kerri     20   0 2786816  60088  44836 S   0.0   2.0   0:01.13 gjs
   4809 root      20   0       0      0      0 I   0.0   0.0   0:07.88 kworker/u4:0-events_unbo+
   4813 kerri     20   0    7968   4356   3184 S   0.0   0.1   0:00.00 ssh-agent
   4827 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-cgroup_destr+
   4856 root      20   0       0      0      0 I   0.0   0.0   0:05.20 kworker/u4:2-events_unbo+
   4866 root      20   0       0      0      0 I   0.0   0.0   0:00.70 kworker/0:0-events
   4906 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u4:3-events_unbo+
   4909 kerri     20   0    9968   3568   3312 S   0.0   0.1   0:00.01 diag51.sh
   4911 kerri     20   0   13076   3984   3380 R   0.0   0.1   0:00.03 top
